問い合わせ番号,発注機関,発注地域,件名,カテゴリ,入札種別,資格ランク,案件登録日,入札日,開札日,落札会社名,落札価格,予定価格,応札企業,リンク
"N17767676","厚生労働省","東京都","令和６年度労災保険業務用紙の印刷（ＯＣＲ）","デザイン・印刷・広告","競争・公募","A,B,C","2023-12-25","2024-02-19",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NzY3Ng=="
"N17767660","独立行政法人製品評価技術基盤機構","大阪府","【製安OS】【役務】電気計測器の校正","工作・産業・農業・建設用機械器具類","競争・公募","等級不問","2023-12-25","2024-01-09",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NzY2MA=="
"N17767612","三重県市町村/四日市市","三重県","朝明ポンプ場No.4雨水ポンプ更新工事","工作・産業・農業・建設用機械器具類,水処理関連施設及び工事","競争・公募","","2023-12-25","2024-01-22",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NzYxMg=="
"N17767548","防衛省/海上自衛隊/佐世保地方総監部","長崎県","椅子，事務用兼ＯＡ用２号　ほか","家具・寝具・什器・備品等","競争・公募","C,D","2023-12-25","2024-01-23",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NzU0OA=="
"N17767547","総務省/統計局","東京都","令和６年度 ＯＣＲ用紙の購入","文房具事務用品・図書","競争・公募","A,B,C","2023-12-25","2024-01-26",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NzU0Nw=="
"N17767410","防衛省/航空自衛隊/第4補給処","埼玉県","ＬＵＢＲＩＣＡＴＩＮＧ　ＯＩＬ","燃料・ガス・油脂及び工事","競争・公募","A,B,C,D","2023-12-25","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NzQxMA=="
"N17767323","奈良県","奈良県","第二浄化センター　No.3脱水ケーキ搬出機ベルト購入","工作・産業・農業・建設用機械器具類,空調・換気・給排水・衛生機器及び工事,建築資材・プレハブ","競争・公募","","2023-12-25","2024-01-10",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NzMyMw=="
"N17767293","警察庁","東京都","ライセンス（Blue Prism RPA license (1年)(Production Support付)）","情報処理機器・ソフト及び業務","競争・公募","A,B,C,D","2023-12-25","2024-01-31",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NzI5Mw=="
"N17767016","独立行政法人科学技術振興機構","東京都","2023.12.25 【新規】 戦略的創造研究推進事業ERATOに係る追跡調査　 (契研-2023-57)","調査・研究業務","競争・公募","A,B,C","2023-12-25","2024-02-14",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NzAxNg=="
"N17767005","国立大学法人/九州大学","福岡県","仏国Bio-Logic社製　電気化学測定システム　","理化学機械器具類","競争・公募","A,B,C,D","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NzAwNQ=="
