問い合わせ番号,発注機関,発注地域,件名,カテゴリ,入札種別,資格ランク,案件登録日,入札日,開札日,落札会社名,落札価格,予定価格,応札企業,リンク
"N17786057","沖縄科学技術大学院大学","沖縄県","LN2 Recycling System for Bruker NMR 400 MHz　一式の購入","理化学機械器具類","競争・公募","","2023-12-28","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NjA1Nw=="
"N17785807","京都市","京都府","サビキラーＰＲＯ他【京都市】","塗装・防水用品及び工事","競争・公募","","2023-12-28","2024-01-19",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NTgwNw=="
"N17785774","国立大学法人/北海道大学","北海道","株式会社成茂科学器械研究所製 電動油圧マイクロマニピュレーター MDO-974A 外 一式","工作・産業・農業・建設用機械器具類,理化学機械器具類","競争・公募","A,B,C,D","2023-12-28","2024-01-10",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NTc3NA=="
"N17785723","厚生労働省/北海道労働局","北海道","業務用冊子等印刷製造契約（令和5年度No.4）","デザイン・印刷・広告","競争・公募","B,C,D","2023-12-28","2024-01-19",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NTcyMw=="
"N17785323","その他愛知県市町村/阿久比町","愛知県","あぐい結びの市「よりみち-yorimichi-」出店者募集【阿久比町】","厨房・給食機器及び業務,その他の業務委託","競争・公募","","2023-12-28","2024-01-15",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NTMyMw=="
"N17785206","独立行政法人高齢・障害・求職者雇用支援機構/静岡支部","静岡県","No23096_訓練用備品（電動ドリル７台　外１件）の購入","工作・産業・農業・建設用機械器具類","競争・公募","","2023-12-28","2024-01-19",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NTIwNg=="
"N17785205","独立行政法人高齢・障害・求職者雇用支援機構/静岡支部","静岡県","No23097_東海ポリテックビジョン参加に係る貸切バス及び宿泊手配業務（浜松短大）","各種車両・船舶・航空機,運送・発送業務,その他の業務委託","競争・公募","","2023-12-28","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NTIwNQ=="
"N17785163","独立行政法人自動車技術総合機構","東京都","令和６年度OBD検査プロジェクトに係る運用業務支援・調査業務","調査・研究業務","競争・公募","A","2023-12-28","2024-02-06",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NTE2Mw=="
"N17785073","宮崎県市町村/都城市","宮崎県","No.253・農地付き空き家（高城町）売買380万円【都城市】","土地・不動産","競争・公募","","2023-12-28","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NTA3Mw=="
"N17785018","北海道","北海道","番号３ ＯＡフロア他 一式","家具・寝具・什器・備品等","競争・公募","","2023-12-28","2024-01-22",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NTAxOA=="
"N17784954","滋賀県","滋賀県","県立のビジネスオフィス 入居者募集~米原SOHOビジネスオフィス~","土地・不動産,その他の業務委託","競争・公募","","2023-12-28","2024-01-15",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDk1NA=="
"N17784909","大阪市","大阪府","令和６年度　大阪市人権だより「KOKOROねっと」企画編集・印刷業務委託【大阪市】","デザイン・印刷・広告","競争・公募","","2023-12-28","2024-01-25",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDkwOQ=="
"N17784844","その他","全国","【米軍案件】INSULATION PIPE FIT","米軍案件","競争・公募","","2023-12-28","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDg0NA=="
"N17784843","その他","全国","【米軍案件】PACKING、PREFORMED","米軍案件","競争・公募","","2023-12-28","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDg0Mw=="
"N17784841","その他","全国","【米軍案件】VALVE、SOLENOID","米軍案件","競争・公募","","2023-12-28","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDg0MQ=="
"N17784839","その他","全国","【米軍案件】POWER SUPPLY ASSEMB","米軍案件","競争・公募","","2023-12-28","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDgzOQ=="
"N17784838","その他","全国","【米軍案件】MODEM ASSEMBLY、COMM","米軍案件","競争・公募","","2023-12-28","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDgzOA=="
"N17784836","その他","全国","【米軍案件】POWER SUPPLY","米軍案件","競争・公募","","2023-12-28","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDgzNg=="
"N17784834","その他","全国","【米軍案件】CYLINDER、COMPRESSED","米軍案件","競争・公募","","2023-12-28","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDgzNA=="
"N17784833","その他","全国","【米軍案件】PISTON、LANDING GEAR","米軍案件","競争・公募","","2023-12-28","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDgzMw=="
"N17784832","その他","全国","【米軍案件】HOUSING ASSEMBLY、GE","米軍案件","競争・公募","","2023-12-28","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDgzMg=="
"N17784828","その他","全国","【米軍案件】HF RADIO RT-200","米軍案件","競争・公募","","2023-12-28","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDgyOA=="
"N17784827","その他","全国","【米軍案件】HYDRAULIC MODULE AS","米軍案件","競争・公募","","2023-12-28","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDgyNw=="
"N17784824","その他","全国","【米軍案件】Shielded Mild Detonating Cord - 1377-00-410-8297 MD17、 MF97、 MS63、 MS64、 MS66","米軍案件","競争・公募","","2023-12-28","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDgyNA=="
"N17784821","その他","全国","【米軍案件】Subscriptions","米軍案件","競争・公募","","2023-12-28","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDgyMQ=="
"N17784761","独立行政法人日本原子力研究開発機構","茨城県","燃料試験施設におけるLOCA模擬試験に係る照射後試験等の実施に関する労働者派遣契約","調査・研究業務,その他の業務委託","競争・公募","A,B,C,D","2023-12-28","2024-02-20",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDc2MQ=="
"N17784620","愛知県","愛知県","ヘプタオキシエチレンドデシルエーテル　ｉｎ　ＭｅＯＨ","薬品・防疫剤等","競争・公募","","2023-12-28","2024-01-17",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDYyMA=="
"N17784335","警察庁","東京都","ライセンス（Nuix Workstation）","情報処理機器・ソフト及び業務","競争・公募","A,B,C,D","2023-12-28","2024-02-05",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDMzNQ=="
"N17784039","その他埼玉県市町村/富士見市","埼玉県","広報『富士見』編集用アプリケーション「Adobe Creative Cloud」の購入【富士見市】","情報処理機器・ソフト及び業務","指名","","2023-12-28","2024-01-19",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDAzOQ=="
"N17784033","埼玉県","埼玉県","次期健康増進アプリ「コバトンALKOOマイレージ」開始チラシ及びポスター","デザイン・印刷・広告","競争・公募","","2023-12-28","2024-01-10",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDAzMw=="
"N17784028","防衛省/自衛隊中央病院","東京都","自衛隊中央病院ＡＴＯＭコースの開催・運営","その他の業務委託","競争・公募","A,B,C,D","2023-12-28","2024-01-18",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4NDAyOA=="
"N17783883","独立行政法人科学技術振興機構","東京都","令和6年度　日本科学未来館　シンボル展示「Geo-Cosmos」運用保守業務　一式 (未来-2023-39)","内装工事,その他の業務委託","競争・公募","","2023-12-28","2024-01-25",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4Mzg4Mw=="
"N17783882","独立行政法人科学技術振興機構","東京都","2024年度 J-GLOBAL・総合知識管理・総合同定等AP運用保守　一式 (契業-2023-306)","情報処理機器・ソフト及び業務","競争・公募","","2023-12-28","2024-01-31",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4Mzg4Mg=="
"N17783880","独立行政法人科学技術振興機構","東京都","令和5年度J-STAGEｼｽﾃﾑﾐﾄﾞﾙｳｪｱEOL対応業務　一式 (契業-2023-275)","情報処理機器・ソフト及び業務","競争・公募","","2023-12-28","2024-01-24",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4Mzg4MA=="
"N17783877","独立行政法人科学技術振興機構","東京都","EDR製品（Carbon Black Cloud Endpoint）ライセンス購入　一式 (契業-2023-302)","情報処理機器・ソフト及び業務","競争・公募","A,B,C,D","2023-12-28","2024-02-06",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4Mzg3Nw=="
"N17783584","独立行政法人理化学研究所","埼玉県","sCMOS カメラ","家電・カメラ・映像関連の機器・用品及び業務","競争・公募","A,B,C,D","2023-12-28","2024-01-23",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MzU4NA=="
"N17783126","長野県市町村/野沢温泉村","長野県","空き家物件No20（売買）（PDF:349KB）【野沢温泉村】","土地・不動産","競争・公募","","2023-12-28","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MzEyNg=="
"N17782899","独立行政法人農業・食品産業技術総合研究機構","茨城県","標準作業手順書(SOP)会員限定公開システム構築・保守業務","情報処理機器・ソフト及び業務","競争・公募","A,B,C,D","2023-12-28","2024-01-31",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4Mjg5OQ=="
"N17782096","京都市","京都府","ORBEYE 手術顕微鏡システム【京都市】","医療用機器・システム、医療・介護用品及び業務","競争・公募","","2023-12-28","2024-02-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MjA5Ng=="
"N17782027","鹿児島県市町村/枕崎市","鹿児島県","空き家情報　No.105 【売買】　4K・300万円【枕崎市】","土地・不動産","競争・公募","","2023-12-28","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MjAyNw=="
